127.0.0.1 - - [18/Aug/2020:23:39:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Aug/2020:23:39:16 +0900] "GET /BBS/ HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [18/Aug/2020:23:39:16 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [18/Aug/2020:23:39:16 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2786
0:0:0:0:0:0:0:1 - - [18/Aug/2020:23:39:16 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [18/Aug/2020:23:39:16 +0900] "GET /BBS/images/aven.jpg HTTP/1.1" 200 360630
0:0:0:0:0:0:0:1 - - [18/Aug/2020:23:39:16 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [18/Aug/2020:23:39:16 +0900] "GET /BBS/images/uracan.jpg HTTP/1.1" 200 458646
0:0:0:0:0:0:0:1 - - [18/Aug/2020:23:39:16 +0900] "GET /BBS/images/urus.jpg HTTP/1.1" 200 42523
0:0:0:0:0:0:0:1 - - [18/Aug/2020:23:39:16 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [18/Aug/2020:23:39:18 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2913
0:0:0:0:0:0:0:1 - - [18/Aug/2020:23:39:33 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [18/Aug/2020:23:39:33 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2746
0:0:0:0:0:0:0:1 - - [18/Aug/2020:23:39:44 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [18/Aug/2020:23:39:44 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2786
